Address 1,City,Country,County,Location,Name,Number of Officers,Phone #,Population Served,State,Type,Website,Zip Code,Fax #,Address 2
100 Bryant St,Bridgeport,United States,Mono County,"Bridgeport, CA",Mono County Sheriffs Department,23,760-932-7549,10000,California,Sheriffs Departments,,,760-932-7435,
550 N Flower St,Santa Ana,United States,Orange County,"Santa Ana, CA",Orange County Sheriffs Department,1509,714-647-1800,2837675,California,Sheriffs Departments,,92702-2361,714-953-3092,
14 Clara Barton St,Dansville,United States,Livingston County,"Dansville, NY",Dansville Village Police Department,9,585-335-3113,5000,New York,Police Departments,,14437-1534,585-335-7019,
3501 Civic Center Dr Rm 145,San Rafael,United States,Marin County,"San Rafael, CA",Marin County Sheriffs Department,210,415-499-7250,254000,California,Sheriffs Departments,,94903-4167,415-507-4126,
5099 Old Hwy N,Mariposa,United States,Mariposa County,"Mariposa, CA",Mariposa County Sheriffs Department,40,209-966-3615,20000,California,Sheriffs Departments,,,209-742-5090,
14143 Road 28,Madera,United States,Madera County,"Madera, CA",Madera County Sheriffs Office,83,559-675-7770,114000,California,Sheriffs Departments,,93638-5714,559-675-8413,
328 Applestill Rd,El Centro,United States,Imperial County,"El Centro, CA",Imperial County Sheriffs Department,100,760-339-6301,130000,California,Sheriffs Departments,,92243-9661,760-339-0170,
550 S Clay St,Independence,United States,Inyo County,"Independence, CA",Inyo County Sheriffs Department,40,760-878-0383,18500,California,Sheriffs Departments,,92384,760-878-0389,
1350 Norris Rd,Bakersfield,United States,Kern County,"Bakersfield, CA",Kern County Sheriffs Department,546,661-391-7500,660000,California,Sheriffs Departments,,93308-2200,661-391-7515,
891 Mountain Ranch Rd,San Andreas,United States,Calaveras County,"San Andreas, CA",Calaveras County Sheriffs Department,56,209-754-6500,40554,California,Sheriffs Departments,,95249-9713,209-754-6581,
6 S Park St,Clyde,United States,Wayne County,"Clyde, NY",Clyde Village Police Department,8,315-923-3121,2500,New York,Police Departments,,14433-1345,315-923-1003,
2200 Fresno St,Fresno,United States,Fresno County,"Fresno, CA",Fresno County Sheriffs Department,785,559-488-3931,779000,California,Sheriffs Departments,,93717-1753,559-488-3078,
33 County Center Dr,Oroville,United States,Butte County,"Oroville, CA",Butte County Sheriffs Department,108,530-538-7321,204000,California,Sheriffs Departments,,95965-3334,530-538-2099,
1 W Main St,Clifton Springs,United States,Ontario County,"Clifton Springs, NY",Clifton Springs Village Police Department,6,315-462-2422,2500,New York,Police Departments,,14432-1035,315-462-6235,
14777 Hwy 89,Markleeville,United States,Alpine County,"Markleeville, CA",Alpine County Sheriffs Department,9,530-694-2231,1200,California,Sheriffs Departments,,,530-694-2956,
115 N Third Cnty Cthse,DeQueen,United States,Sevier County,"DeQueen, AR",Sevier County Sheriffs Department,9,870-642-2125,5000,Arkansas,Sheriffs Departments,,,870-642-3916,
417 N Spruce St,Searcy,United States,White County,"Searcy, AR",White County Sheriffs Department,30,501-268-3543,52000,Arkansas,Sheriffs Departments,,72143-4222,501-279-6242,
3095 Main St,Caledonia,United States,Livingston County,"Caledonia, NY",Caledonia Village Police Department,3,585-538-6200,2600,New York,Police Departments,,14423-1237,585-538-2039,
401 N Spring St,Jasper,United States,Newton County,"Jasper, AR",Newton County Sheriffs Department,7,870-446-5258,8226,Arkansas,Sheriffs Departments,,72641,870-446-2106,
21 Ontario St,Canandaigua,United States,Ontario County,"Canandaigua, NY",Canandaigua City Police Department,26,585-396-5035,12345,New York,Police Departments,,14424-1845,585-396-5034,
313 S Izard,Forrest City,United States,St Francis County,"Forrest City, AR",St Francis County Sheriffs Department,13,870-633-2611,15000,Arkansas,Sheriffs Departments,,72335-3852,870-261-1784,
491 Hwy 62 W,Yellville,United States,Marion County,"Yellville, AR",Marion County Sheriffs Department,15,870-449-4236,17000,Arkansas,Sheriffs Departments,,72687-9258,870-449-4869,
1 Clinton St,Brockport,United States,Monroe County,"Brockport, NY",Brockport Village Police Department,17,585-637-1020,11000,New York,Police Departments,,14420-1803,585-637-1016,
2300 East St,Texarkana,United States,Miller County,"Texarkana, AR",Miller County Sheriffs Office,18,870-774-3001,37000,Arkansas,Sheriffs Departments,,71854-8023,870-772-0110,
74 Genesee St,Avon,United States,Livingston County,"Avon, NY",Avon Village Police Department,8,585-226-8118,3000,New York,Police Departments,,14414-1292,585-226-5035,
101 E Barraque Ste 112,Pine Bluff,United States,Jefferson County,"Pine Bluff, AR",Jefferson County Sheriffs Department,45,870-541-5351,85487,Arkansas,Sheriffs Departments,,71601-4301,870-541-5348,
300 Circle Dr,Melbourne,United States,Izard County,"Melbourne, AR",Izard County Sheriffs Department,8,870-368-4203,14000,Arkansas,Sheriffs Departments,,,870-368-5226,
106 N Platt St,Albion,United States,Orleans County,"Albion, NY",Albion Village Police Department,14,585-589-5627,6500,New York,Police Departments,,14411-1243,585-589-8016,
525 Ouachita Ave,Hot Springs,United States,Garland County,"Hot Springs, AR",Garland County Sheriffs Department,64,501-622-3660,77000,Arkansas,Sheriffs Departments,,71901-5117,501-321-4212,
801 Locust St Cthse,Conway,United States,Faulkner County,"Conway, AR",Faulkner County Sheriffs Department,12,501-450-4914,57000,Arkansas,Sheriffs Departments,,72034-5330,501-450-4916,
1750 Myers St,Batesville,United States,Independence County,"Batesville, AR",Independence County Sheriffs Department,28,870-793-8838,33100,Arkansas,Sheriffs Departments,,72501-7342,870-612-6849,
400 E Prospect Ave,Harrison,United States,Boone County,"Harrison, AR",Boone County Sheriffs Office,20,870-741-8404,34000,Arkansas,Sheriffs Departments,,72601-3722,870-741-6038,
901 Willett Rd,Jonesboro,United States,Craighead County,"Jonesboro, AR",Craighead County Sheriffs Department,23,870-933-4551,75991,Arkansas,Sheriffs Departments,,72401-8950,870-933-4595,
1750 E Benson Hwy,Tucson,United States,Pima County,"Tucson, AZ",Pima County Sheriffs Department,457,520-741-4600,308000,Arizona,Sheriffs Departments,,85714-1758,520-741-4789,
1250 N Hohokam Dr,Nogales,United States,Santa Cruz County,"Nogales, AZ",Santa Cruz County Sheriffs Office,42,520-761-7869,37000,Arizona,Sheriffs Departments,,85621-1140,520-375-8118,
255 E Gurley St,Prescott,United States,Yavapai County,"Prescott, AZ",Yavapai County Sheriffs Office,122,928-771-3291,156000,Arizona,Sheriffs Departments,,86301-3868,928-771-3294,
1100 South St,Globe,United States,Gila County,"Globe, AZ",Gila County Sheriffs Department,50,928-425-4449,30000,Arizona,Sheriffs Departments,,85501-1465,928-402-1060,
600 W Beale St,Kingman,United States,Mohave County,"Kingman, AZ",Mohave County Sheriffs Office,94,928-753-0753,165000,Arizona,Sheriffs Departments,,86401-5714,928-753-0765,
305 Prentiss Dr,Phenix City,United States,Russell County,"Phenix City, AL",Russell County Sheriffs Department,64,334-298-6535,50000,Alabama,Sheriffs Departments,,36868-7249,334-291-7667,
510 S Royal St,Mobile,United States,Mobile County,"Mobile, AL",Mobile County Sheriffs Department,147,251-574-7827,383636,Alabama,Sheriffs Departments,,36603-2235,251-574-8631,
827 Forrest Ave,Gadsden,United States,Etowah County,"Gadsden, AL",Etowah County Sheriffs Department,38,256-546-2825,104000,Alabama,Sheriffs Departments,,35901-3620,256-549-8137,
100 Court Sq,Ozark,United States,Dale County,"Ozark, AL",Dale County Sheriffs Department,13,334-774-2335,47000,Alabama,Sheriffs Departments,,,334-774-2909,
316 Court St,Brewton,United States,Escambia County,"Brewton, AL",Escambia County Sheriffs Department,18,251-809-0741,38000,Alabama,Sheriffs Departments,,36426-2060,251-809-2155,
500 2nd Ave SW,Cullman,United States,Cullman County,"Cullman, AL",Cullman County Sheriffs Office,38,256-734-0342,75000,Alabama,Sheriffs Departments,,35055-4155,256-737-9868,
400 W 8th St,Anniston,United States,Calhoun County,"Anniston, AL",Calhoun County Sheriffs Office,30,256-236-6600,120000,Alabama,Sheriffs Departments,,36201-5583,256-237-6321,
500 2nd Ave N Rm 204,Clanton,United States,Chilton County,"Clanton, AL",Chilton County Sheriffs Department,16,205-755-4698,32000,Alabama,Sheriffs Departments,,35045-3421,205-280-7245,
17070 Collins Ave #255,Sunny Isles Beach,United States,Miami-Dade County,"Sunny Isles Beach, FL",Sunny Isles Beach Police Department,44,305-947-4440,18500,Florida,Police Departments,,33160-3635,305-947-4680,
204 S Main St,LaVeta,United States,Huerfano County,"LaVeta, CO",La Veta Marshal's Office,2,719-742-3344,943,Colorado,Police Departments,,81055,719-742-5420,
57455 Abbot Dr,Sunriver,United States,Deschutes County,"Sunriver, OR",Sunriver Police Department,10,541-593-1014,2000,Oregon,Police Departments,,,541-593-1870,
66 Main St,Senioa,United States,Coweta County,"Senioa, GA",Senoia Police Department,7,770-599-3256,2000,Georgia,Police Departments,,,770-599-8329,
812 S Anderson Blvd,Topsail Beach,United States,Onslow County,"Topsail Beach, NC",Topsail Beach Police Department,7,910-328-4851,7000,North Carolina,Police Departments,,28445-6948,910-328-1666,
100 Spring St,Port Jefferson,United States,Shelby County,"Port Jefferson, OH",Port Jefferson Police Department,9,937-492-9652,500,Ohio,Police Departments,,,,
33325 8 Ave S,Federal Way,United States,King County,"Federal Way, WA",Federal Way Police Department,136,253-835-4600,92000,Washington,Police Departments,http://cityoffederalway.com/index.aspx?nid=148,98003-6755,253-835-6739,
1196 Edwards St,Tunica,United States,Tunica County,"Tunica, MS",Tunica Police Department,10,662-363-2400,1200,Mississippi,Police Departments,,38676,662-363-2496,
210 George St.,Reading,United States,Berks County,"Reading, PA",Muhlenberg Township Police Department - PA,28,,16000,Pennsylvania,Police Departments,,19605,610-921-1144,
1360 N Niels Hansen Ln,Lakeside,United States,Navajo County,"Lakeside, AZ",Pinetop/Lakeside Police Department,16,928-368-8803,5000,Arizona,Police Departments,,85929-3101,928-368-8814,
201 E Parsons St,Manor,United States,Travis County,"Manor, TX",Manor Police Department,7,512-272-8177,1200,Texas,Police Departments,,78653,512-278-0072,
508 3rd St,Scribner,United States,Dodge County,"Scribner, NE",Scribner Police Department,2,402-664-3000,950,Nebraska,Police Departments,,,402-664-3162,
19600 E Parker Square Dr,Parker,United States,Douglas County,"Parker, CO",Parker Police Department (CO),45,303-841-9800,30000,Colorado,Police Departments,http://www.parkerpolice.org/,80134-7394,303-841-2430,
201 Derboune St,Cheneyville,United States,Rapides Parish,"Cheneyville, LA",Cheneyville Police Department,4,318-279-2156,1019,Louisiana,Police Departments,,,318-279-2766,
1114 Market St #602,St Louis,United States,St Louis City County,"St Louis, MO",St Louis City Sheriffs Department,189,314-622-4131,,Missouri,Independent City Sheriffs,,63101-2016,314-622-4839,
4973 Main St,Anacoco,United States,Vernon Parish,"Anacoco, LA",Anacoco Police Department,1,337-239-0215,866,Louisiana,Police Departments,,71403-3366,337-238-5550,
6001 N Hwy A1A,Indian River Shores,United States,Indian River County,"Indian River Shores, FL",Indian Rvr Shrs Department of Public Safety,20,772-231-2451,,Florida,Police Departments,,32963-1014,772-231-2444,
127 Osage Exec Dr,House Springs,United States,Jefferson County,"House Springs, MO",Byrnesmill Police Department,14,636-677-7727,2400,Missouri,Police Departments,,63051-1383,636-677-5533,
73 Commercial St,Angola,United States,Erie County,"Angola, NY",Angola Village Police Department,12,716-549-0044,2000,New York,Police Departments,,14006-1429,716-549-7902,
1011 Municipal Center Dr,St Louis,United States,St Louis County,"St Louis, MO",Town & Country Police Department,33,314-432-4696,12000,Missouri,Police Departments,,63131-1101,314-432-4991,
Rte 1 Box 176,Primera,United States,Cameron County,"Primera, TX",Primera Police Department,6,956-423-9654,2030,Texas,Police Departments,,78552-9361,956-423-2166,
433 Cherry St,Sumas,United States,Whatcom County,"Sumas, WA",Sumas Police Department,6,360-988-5711,954,Washington,Police Departments,,,360-988-8855,
1884 Walnut St,Goshen,United States,Clermont County,"Goshen, OH",Goshen Township Police Department,11,513-722-3200,14000,Ohio,Police Departments,,45122-9702,513-722-3201,
100 Municipal Dr,Trophy Club,United States,Denton County,"Trophy Club, TX",Trophy Club-Westlake Public Safety,15,682-831-4650,6000,Texas,Police Departments,,76262-5420,817-491-9886,
100 Roadrunner Dr,Sedona,United States,Coconino County,"Sedona, AZ",Sedona Police Department,25,928-282-3102,10000,Arizona,Police Departments,,86336-3710,928-204-7808,
2003 Mill Rd,Alexandria,United States,Alexandria City County,"Alexandria, VA",Alexandria City Sheriffs Office,167,703-838-4114,120000,Virginia,Independent City Sheriffs,,22314-4658,703-838-6307,
201 S Main St,Emporia,United States,Emporia City County,"Emporia, VA",City of Emporia Sheriffs Office,1,434-634-4671,5682,Virginia,Independent City Sheriffs,,23847-2025,434-634-9982,
401 Albemarle Dr,Chesapeake,United States,Chesapeake City County,"Chesapeake, VA",Chesapeake City Sheriffs Office,323,757-382-6159,202354,Virginia,Independent City Sheriffs,,23322-5503,757-382-8392,
417 Cumberland St,Bristol,United States,Bristol County,"Bristol, VA",Bristol City Sheriffs Office,50,276-645-7430,18100,Virginia,Independent City Sheriffs,,24201-4303,276-645-7428,
51 Huntley Ln,Bella Vista,United States,Benton County,"Bella Vista, AR",Bella Vista Sheriffs Department,16,479-855-3771,13000,Arkansas,Police Departments,,72714-5354,479-855-8050,
Rte 1 Box 948,Claysburg,United States,Blair County,"Claysburg, PA",Greenfield Township Police Department,9,814-239-5313,4000,Pennsylvania,Police Departments,,16625-9703,814-239-2736,
5303 Mesker St,Weston,United States,Marathon County,"Weston, WI",Everest Metro Police Department,24,715-359-4202,15000,Wisconsin,Police Departments,,54476-4304,715-359-4204,
2039 Sycamore Ave,Buena Vista,United States,Buena Vista City County,"Buena Vista, VA",Buena Vista City Sheriffs Office,6,540-261-8615,6406,Virginia,Independent City Sheriffs,,24416-3133,540-261-2424,
240 Lockport St,Youngstown,United States,Niagara County,"Youngstown, NY",Youngstown Village Police Department,7,716-745-3623,2075,New York,Police Departments,,14174-1008,716-745-7029,
7701 County Rd 110 W,Minnetrista,United States,Hennepin County,"Minnetrista, MN",Minnetrista Public Safety Department,10,952-446-1131,6800,Minnesota,Police Departments,,55364-9553,952-446-1623,
101 Dublin Park Rd,Dublin,United States,Pulaski County,"Dublin, VA",Town of Dublin Police Department,9,540-674-5167,2400,Virginia,Police Departments,,,540-674-4799,
9500 Euclid Ave U12,Cleveland,United States,Cuyahoga County,"Cleveland, OH",Cleveland Clinic Police Department (OH),122,216-444-2250,15000,Ohio,Police Departments,,44195-0001,216-444-1999,
172 Central Ave,Silver Creek,United States,Chautauqua County,"Silver Creek, NY",Silver Creek Village Police Department,5,716-934-2112,3100,New York,Police Departments,,14136-1338,716-934-7587,
411 Mtn Village Blvd,Mountain Village,United States,San Miguel County,"Mountain Village, CO",Mountain Village Police Department,7,970-728-9281,1200,Colorado,Police Departments,,81435-9423,970-728-9283,
106 Washington Ave S,Battle Lake,United States,Otter Tail County,"Battle Lake, MN",Battle Lake Police Department,3,218-864-8989,746,Minnesota,Police Departments,,56515-4144,218-864-0424,
12 Weir St,Leadington,United States,St Francois County,"Leadington, MO",Leadington Police Department,5,573-431-5637,650,Missouri,Police Departments,,63601-4463,573-518-0590,
7581 Spanish Fort Blvd,Spanish Fort,United States,Baldwin County,"Spanish Fort, AL",Spanish Fort Police Department,7,251-626-4884,5000,Alabama,Police Departments,,36527-5317,251-626-4880,
925 Collins Run Rd,Oxford,United States,Butler County,"Oxford, OH",Oxford Township Police Department,8,513-523-7131,4700,Ohio,Police Departments,,,513-523-7131,
833 Pondwood Dr,Live Oak,United States,Suwannee County,"Live Oak, FL",City of Live Oak Police Department,15,386-362-7463,6500,Florida,Police Departments,,32064-4452,386-208-1420,
